segment_id,answer_id,text,language
lesson_01_family,mom,엄마,ko
lesson_01_family,dad,아빠,ko
lesson_01_family,grandma,할머니,ko
lesson_01_family,grandpa,할아버지,ko
lesson_02_animals,puppy,강아지,ko
lesson_02_animals,cat,고양이,ko
lesson_02_animals,rabbit,토끼,ko
lesson_02_animals,butterfly,나비,ko
lesson_03_food,apple,사과,ko
lesson_03_food,banana,바나나,ko
lesson_03_food,milk,우유,ko
lesson_03_food,bread,빵,ko
lesson_04_actions,go,가요,ko
lesson_04_actions,come,와요,ko
lesson_04_actions,eat,먹어요,ko
lesson_05_school,school,학교,ko
lesson_05_school,friend,친구,ko
lesson_05_school,book,책,ko
